Track,Album_Name,Artist,Release_Date,ISRC,Track_Score
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4-26-2024,QM24S2402528,725.4
Not Like Us,Not Like Us,Kendrick Lamar,04-05-2024,USUG12400910,545.9
i like the way you kiss me,I like the way you kiss me,Artemas,3-19-2024,QZJ842400387,538.4
Flowers,Flowers - Single,Miley Cyrus,12-01-2023,USSM12209777,444.9
Houdini,Houdini,Eminem,5-31-2024,USUG12403398,423.3
Lovin On Me,Lovin On Me,Jack Harlow,10-11-2023,USAT22311371,410.1
Beautiful Things,Beautiful Things,Benson Boone,1-18-2024,USWB12307016,407.2
Gata Only,Gata Only,FloyyMenor,02-02-2024,QZL382406049,375.8
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,09-06-2024,TCJPA2463708,355.7
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5-23-2024,USSM12404354,330.6
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,10-05-2024,USUM72404990,322.1
The Door,The Door,Teddy Swims,6-14-2024,USWB12402486,320.2
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5-17-2024,USUM72401991,316.3
Like That,WE DON'T TRUST YOU,Future,3-22-2024,USSM12402041,308.2
bathroom floor,bathroom floor,Kids With Buns,07-10-2022,NLC242100307,301.6
LALA,LALA - Single,Myke Towers,3-22-2023,USWL12300002,299.9
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4-18-2024,USUG12401028,297.6
greedy,greedy,Tate McRae,9-14-2023,USRC12301932,293.7
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5-17-2024,USUM72401996,292.6
As It Was,As It Was,Harry Styles,3-31-2022,USSM12200612,292
Paint The Town Red,Paint The Town Red,Doja Cat,04-08-2023,USRC12300907,290.5
Espresso,Espresso,Sabrina Carpenter,12-04-2024,USUM72403305,281.5
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5-21-2024,TCJPA2445163,279
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,10-02-2024,USSM12401302,278.9
Future,Future,official sound studio,10-01-2024,RUA1H2415548,277.5
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5-24-2022,BXWEH2200054,268.1
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,09-07-2021,USSM12103949,266.3
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,01-12-2015,KRE671700001,265.7
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,08-03-2024,USUM72317276,262.8
Numb / Encore,Papercuts,JAY-Z,12-04-2024,USWB12400678,256
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5-14-2024,TCJPA2406007,249.8
SHEESH,BABYMONS7ER,BABYMONSTER,01-04-2024,KRA402400016,237.5
Water,Water,Tyla,7-28-2023,USSM12305126,234.6
Strangers,Strangers,Kenya Grace,01-09-2023,USWB12305048,233.5
Too Sweet,Unreal Unearth: Unheard,Hozier,3-22-2024,USSM12401865,231.6
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4-26-2024,GBAYE2300351,230
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,12-04-2024,USUYG1541249,226.4
Lose Control,Lose Control,Teddy Swims,6-23-2023,USWB12302315,224.1
fukumean,fukumean,Gunna,6-15-2023,USAT22306575,221.1
Dance Monkey,Dance Monkey,Tones And I,10-05-2019,QZES71982312,214.5
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5-17-2024,USUM72401994,212.8
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,08-04-2023,KRA252300672,211.2
I'm Good (Blue),I'm Good (Blue),David Guetta,8-26-2022,UKWLG2200055,209.6
Daylight,Daylight,David Kushner,4-14-2023,QZXDB2300005,207
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9-15-2023,USJ5G2335007,206.2
Please Please Please,Please Please Please,Sabrina Carpenter,06-06-2024,USUM72404101,205.7
Houdini,Houdini - Single,Dua Lipa,09-11-2023,GBAHT2301246,205.1
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,02-05-2024,TCJPA2415647,204.4
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,10-02-2023,GBUM72300969,203.6
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1-13-2017,USUM71607007,203.5
euphoria,euphoria,Kendrick Lamar,4-30-2024,USUG12402839,202.1
Panda Basi,Panda Basi - EP,Mvua,10-02-2023,GX3Q92333626,200.3
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8-25-2022,NGA3B2214021,198
Shape of You,Shape of You,Ed Sheeran,06-01-2017,GBAHS1600463,195.1
Mitu,Mitu - Single,Maian,1-19-2023,EEUM72300001,194.3
Blinding Lights,Blinding Lights,The Weeknd,11-29-2019,USUG11904206,194
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,02-12-2022,USUG12208791,192.3
Dona Felicidade,Dona Felicidade,Patati Patatï¿,04-06-2024,QZNJW2423715,190
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4-29-2024,TCJPA2420090,190
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9-22-2022,GBUM72205415,189.1
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,05-06-2024,ROCMA2413380,187.9
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12-31-2023,RUA1H2406425,186.5
Supernova,Supernova,aespa,5-13-2024,KRA302400090,186.1
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,06-05-2022,QM6MZ2214877,184.8
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3-29-2024,USCM52400059,181.4
Calm Down,Calm Down,Rema,10-02-2022,NGA3B2214004,180.1
CARNIVAL,CARNIVAL,ýý$,08-02-2024,QZ7XS2400012,179.6
Kill Bill,SOS,SZA,08-12-2022,USRC12204584,177.7
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7-13-2023,USUM72307484,177.6
